index,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
387,HIGHWAY,479,693,104,2,-2,168,19,16,1
388,HIGHWAY,477,721,104,-2,-2,169,19,19,1
389,HIGHWAY,1442,1685,104,-2,-2,346,27,24,1
390,HIGHWAY,13923,14234,104,2,2,1635,56,45,1
391,HIGHWAY,454,765,104,-2,2,181,19,19,1
392,HIGHWAY,1498,1713,104,-2,2,352,27,23,1
393,HIGHWAY,2791,3011,104,2,2,537,31,27,1
394,HIGHWAY,3286,3597,104,2,-2,567,31,34,1
395,HIGHWAY,1055,1366,104,2,2,285,22,25,1
396,HIGHWAY,1650,1961,104,2,-2,405,27,25,1
397,HIGHWAY,2637,2854,104,2,2,529,28,33,1
398,HIGHWAY,223,431,104,-2,-2,116,15,14,1
399,HIGHWAY,25563,25874,104,2,2,2428,64,62,1
400,HIGHWAY,543,757,104,-2,2,193,20,18,1
401,HIGHWAY,1226,1537,104,2,2,346,26,25,1
402,HIGHWAY,1062,1278,104,2,2,318,24,27,1
403,HIGHWAY,831,1143,104,2,2,250,24,23,1
404,HIGHWAY,1972,2284,104,2,-2,457,25,32,1
405,HIGHWAY,755,1067,104,2,2,254,24,24,1
406,HIGHWAY,1292,1603,104,2,-2,346,20,30,1
407,HIGHWAY,747,1059,104,2,2,252,24,23,1
408,HIGHWAY,2610,2921,104,2,-2,496,32,30,1
409,HIGHWAY,6384,6599,104,-2,2,1029,49,43,1
410,HIGHWAY,8992,9285,104,2,-2,1395,59,43,1
411,HIGHWAY,280,496,104,-2,-2,121,14,16,1
412,HIGHWAY,1713,1927,104,2,2,391,25,26,1
413,HIGHWAY,655,953,104,-2,-2,225,19,22,1
414,HIGHWAY,5943,6166,104,-2,-2,1122,48,39,1
415,HIGHWAY,481,725,104,-2,-2,169,19,19,1
416,HIGHWAY,9982,10211,104,-2,2,1423,45,52,1
417,HIGHWAY,513,729,104,-2,2,161,18,18,1
